tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision
182.0,160.7,79.2,24.43,ALPHA,GAMMA
182.0,160.96,79.0,24.43,ALPHA,GAMMA
182.0,160.46,79.3,24.57,ALPHA,THETA
182.0,160.36,79.4,24.63,ALPHA,THETA
182.0,160.66,79.2,24.53,ALPHA,THETA
181.0,159.49,77.35,24.44,ALPHA,THETA
181.0,158.99,77.52,24.44,ALPHA,THETA
181.0,159.19,77.55,24.54,ALPHA,THETA
180.0,157.49,74.29,24.45,ALPHA,THETA
180.0,157.6,74.53,24.41,ALPHA,THETA
180.0,157.0,74.29,24.25,ALPHA,THETA
180.0,157.6,74.29,24.35,ALPHA,THETA
180.0,157.3,74.49,24.35,ALPHA,THETA
179.0,156.17,73.89,24.25,ALPHA,THETA
179.0,156.03,74.0,24.19,ALPHA,THETA
179.0,155.94,74.03,24.25,ALPHA,THETA
179.0,156.52,74.03,24.1,ALPHA,THETA
179.0,156.22,73.83,24.15,ALPHA,THETA
178.0,155.7,73.66,24.06,ALPHA,THETA
178.0,155.69,73.66,24.04,ALPHA,THETA
178.0,155.7,73.88,24.14,ALPHA,THETA
178.0,155.4,73.86,24.14,ALPHA,THETA
177.0,154.76,72.14,24.16,ALPHA,THETA
177.0,154.64,72.54,24.21,ALPHA,THETA
177.0,154.58,72.54,24.14,ALPHA,THETA
177.0,154.76,72.22,24.15,GAMMA,THETA
177.0,154.46,72.34,24.11,GAMMA,THETA
176.0,153.44,71.54,24.09,GAMMA,THETA
176.0,153.72,71.42,24.2,ALPHA,THETA
176.0,153.63,71.4,24.2,ALPHA,THETA
176.0,153.42,71.57,24.1,ALPHA,THETA
175.0,151.45,68.4,24.13,ALPHA,THETA
175.0,151.75,68.33,23.94,ALPHA,THETA
175.0,151.15,68.26,24.08,ALPHA,THETA
132.0,151.8,71.74,25.13,ALPHA,THETA
132.0,152.18,71.74,25.06,ALPHA,THETA
132.0,151.8,72.07,24.96,ALPHA,GAMMA
132.0,152.13,72.14,24.96,ALPHA,THETA
132.0,152.1,71.94,25.06,ALPHA,THETA
131.0,151.55,71.01,25.18,GAMMA,THETA
131.0,151.14,71.09,24.98,GAMMA,THETA
131.0,151.08,70.76,25.18,THETA,THETA
131.0,151.25,70.96,25.08,THETA,GAMMA
130.0,151.94,72.31,25.29,ALPHA,GAMMA
130.0,151.82,72.71,25.37,ALPHA,GAMMA
130.0,152.42,72.71,25.37,ALPHA,GAMMA
130.0,152.12,72.51,25.3,ALPHA,GAMMA
129.0,151.46,70.33,25.43,ALPHA,GAMMA
129.0,151.36,70.25,25.33,ALPHA,GAMMA
129.0,151.46,70.1,25.31,ALPHA,GAMMA
129.0,151.37,70.3,25.43,ALPHA,GAMMA
129.0,151.16,70.22,25.33,ALPHA,GAMMA
128.0,150.93,69.89,25.47,ALPHA,THETA
128.0,151.24,69.89,25.47,ALPHA,THETA
128.0,151.16,69.73,25.47,ALPHA,THETA
128.0,150.94,69.69,25.37,ALPHA,THETA
127.0,150.67,69.26,25.14,ALPHA,THETA
127.0,150.9,69.18,25.09,ALPHA,THETA
127.0,150.3,68.88,25.15,ALPHA,THETA
127.0,150.6,69.08,25.12,ALPHA,THETA
126.0,151.55,69.38,25.04,ALPHA,THETA
126.0,151.56,69.78,25.04,ALPHA,THETA
126.0,151.6,69.38,25.11,ALPHA,THETA
126.0,151.66,69.38,25.04,ALPHA,THETA
126.0,151.36,69.58,25.14,ALPHA,THETA
125.0,150.86,70.33,25.13,ALPHA,THETA
125.0,151.27,69.93,25.19,ALPHA,GAMMA
125.0,150.97,70.13,25.09,ALPHA,THETA
124.0,149.91,69.16,25.18,ALPHA,THETA
124.0,150.37,68.8,25.18,ALPHA,THETA
124.0,149.87,69.16,25.07,ALPHA,THETA
124.0,150.17,68.96,25.17,ALPHA,THETA
123.0,149.28,68.23,25.13,ALPHA,THETA
123.0,149.43,68.23,25.17,ALPHA,THETA
123.0,149.86,68.23,25.11,ALPHA,THETA
123.0,149.4,68.05,25.31,ALPHA,THETA
