tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position
375.0,133.72,61.5,22.54,ALPHA,THETA,True,False,True
375.0,134.02,61.31,22.54,ALPHA,THETA,True,False,True
375.0,133.72,61.33,22.54,ALPHA,THETA,True,False,True
375.0,134.02,61.44,22.44,ALPHA,THETA,True,False,True
374.0,132.9,61.23,22.36,ALPHA,THETA,True,False,True
374.0,132.74,61.13,22.36,ALPHA,THETA,True,False,True
374.0,132.58,61.13,22.32,ALPHA,THETA,True,False,True
374.0,132.3,61.33,22.23,ALPHA,THETA,True,False,True
374.0,132.6,61.33,22.26,ALPHA,THETA,True,False,True
373.0,132.7,61.8,21.94,ALPHA,THETA,True,False,True
373.0,132.13,61.78,21.94,GAMMA,THETA,True,False,True
373.0,132.2,61.83,21.94,GAMMA,THETA,True,False,True
373.0,132.31,61.82,21.96,GAMMA,THETA,True,False,True
